CCAA;AÑO;SECTOR ;SEXO;Tasa de paro;%_inactivos;TASA_DE_ACTIVIDAD;%_ocup;%act_educ
            16 País Vasco;2019;Educación;Mujeres;4.57;1.1;78.08;2.3;1.6
            17 Rioja, La;2019;Educación;Mujeres;7.82;1.1;68.65;5.7;4.0
            18 Ceuta;2019;Educación;Mujeres;16.79;0.0;84.58;2.1;10.2
            19 Melilla;2019;Educación;Mujeres;34.85;1.2;81.28;4.1;5.8
            01 Andalucía;2019;Artes, humanidades y lenguas;Mujeres;16.89;0.9;66.63;2.5;5.7
            02 Aragón;2019;Artes, humanidades y lenguas;Mujeres;17.56;1.1;72.26;2.1;3.3
            03 Asturias, Principado de;2019;Artes, humanidades y lenguas;Mujeres;12.65;0.0;75.85;1.5;4.4
            04 Balears, Illes;2019;Artes, humanidades y lenguas;Mujeres;16.08;0.7;77.46;2.1;3.3
            05 Canarias;2019;Artes, humanidades y lenguas;Mujeres;20.83;0.6;72.84;1.3;1.9
            06 Cantabria;2019;Artes, humanidades y lenguas;Mujeres;11.67;0.9;77.31;4.6;5.1
            07 Castilla y León;2019;Artes, humanidades y lenguas;Mujeres;12.94;0.6;76.21;3.3;3.3
            08 Castilla - La Mancha;2019;Artes, humanidades y lenguas;Mujeres;22.17;0.3;76.10;2.7;3.6
            09 Cataluña;2019;Artes, humanidades y lenguas;Mujeres;11.36;0.6;78.19;3.8;5.0
            10 Comunitat Valenciana;2019;Artes, humanidades y lenguas;Mujeres;7.91;1.0;65.67;2.2;6.1
            11 Extremadura;2019;Artes, humanidades y lenguas;Mujeres;6.04;0.3;64.63;2.3;2.6
            12 Galicia;2019;Artes, humanidades y lenguas;Mujeres;17.69;0.4;75.32;2.8;5.2
            13 Madrid, Comunidad de;2019;Artes, humanidades y lenguas;Mujeres;16.45;1.3;70.46;4.6;5.0
            14 Murcia, Región de;2019;Artes, humanidades y lenguas;Mujeres;9.41;1.1;65.03;3.1;4.4
            15 Navarra, Comunidad Foral de;2019;Artes, humanidades y lenguas;Mujeres;11.86;0.7;69.91;4.1;2.4
            16 País Vasco;2019;Artes, humanidades y lenguas;Mujeres;9.07;0.7;70.69;2.1;3.6
            17 Rioja, La;2019;Artes, humanidades y lenguas;Mujeres;7.68;0.7;58.31;3.4;4.2
            18 Ceuta;2019;Artes, humanidades y lenguas;Mujeres;0.00;..;100.00;..;3.5
            19 Melilla;2019;Artes, humanidades y lenguas;Mujeres;0.00;0.0;100.00;2.4;4.4
            01 Andalucía;2019;Ciencias sociales, periodismo y documentación;Mujeres;23.36;0.6;83.35;2.9;1.8
            02 Aragón;2019;Ciencias sociales, periodismo y documentación;Mujeres;5.79;0.9;79.41;3.2;1.8
            03 Asturias, Principado de;2019;Ciencias sociales, periodismo y documentación;Mujeres;6.08;0.7;75.74;1.8;1.7
            04 Balears, Illes;2019;Ciencias sociales, periodismo y documentación;Mujeres;43.84;0.7;88.71;1.4;2.4
            05 Canarias;2019;Ciencias sociales, periodismo y documentación;Mujeres;23.67;0.9;88.74;2.3;0.7
            06 Cantabria;2019;Ciencias sociales, periodismo y documentación;Mujeres;0.00;1.0;71.32;3.4;2.2
            07 Castilla y León;2019;Ciencias sociales, periodismo y documentación;Mujeres;12.52;0.7;79.47;3.5;2.5
            08 Castilla - La Mancha;2019;Ciencias sociales, periodismo y documentación;Mujeres;20.81;0.5;96.05;2.5;1.0
            09 Cataluña;2019;Ciencias sociales, periodismo y documentación;Mujeres;7.15;1.0;84.77;4.2;2.6
            10 Comunitat Valenciana;2019;Ciencias sociales, periodismo y documentación;Mujeres;6.95;0.5;69.71;2.5;1.5
            11 Extremadura;2019;Ciencias sociales, periodismo y documentación;Mujeres;4.76;0.6;90.59;1.3;1.4
            12 Galicia;2019;Ciencias sociales, periodismo y documentación;Mujeres;9.08;0.5;80.69;1.7;3.1
            13 Madrid, Comunidad de;2019;Ciencias sociales, periodismo y documentación;Mujeres;5.21;1.3;80.89;4.5;3.6
            14 Murcia, Región de;2019;Ciencias sociales, periodismo y documentación;Mujeres;38.95;0.5;71.66;2.4;2.5
            15 Navarra, Comunidad Foral de;2019;Ciencias sociales, periodismo y documentación;Mujeres;10.84;0.4;84.23;4.1;1.1
            16 País Vasco;2019;Ciencias sociales, periodismo y documentación;Mujeres;1.56;0.7;79.79;3.6;1.9
            17 Rioja, La;2019;Ciencias sociales, periodismo y documentación;Mujeres;0.00;1.1;83.48;3.3;1.2
            18 Ceuta;2019;Ciencias sociales, periodismo y documentación;Mujeres;0.00;..;82.17;..;5.2
            19 Melilla;2019;Ciencias sociales, periodismo y documentación;Mujeres;0.00;0.9;100.00;0.0;5.2
            01 Andalucía;2019; Negocios, administración y derecho;Mujeres;15.24;0.5;76.34;2.1;17.0
            02 Aragón;2019; Negocios, administración y derecho;Mujeres;6.43;0.5;73.03;2.1;15.0
            03 Asturias, Principado de;2019; Negocios, administración y derecho;Mujeres;13.22;0.2;73.95;3.2;11.6
            04 Balears, Illes;2019; Negocios, administración y derecho;Mujeres;9.64;0.5;83.20;2.4;17.2
            05 Canarias;2019; Negocios, administración y derecho;Mujeres;20.13;0.7;75.84;0.6;14.9
            06 Cantabria;2019; Negocios, administración y derecho;Mujeres;6.48;0.9;66.99;3.4;15.0
            07 Castilla y León;2019; Negocios, administración y derecho;Mujeres;12.30;0.3;76.14;1.8;13.8
            08 Castilla - La Mancha;2019; Negocios, administración y derecho;Mujeres;16.55;0.3;80.07;2.9;12.1
            09 Cataluña;2019; Negocios, administración y derecho;Mujeres;9.36;0.7;82.18;3.7;17.2
            10 Comunitat Valenciana;2019; Negocios, administración y derecho;Mujeres;12.87;0.7;75.27;2.2;17.0
            11 Extremadura;2019; Negocios, administración y derecho;Mujeres;26.85;0.2;81.24;1.5;15.9
            12 Galicia;2019; Negocios, administración y derecho;Mujeres;8.72;0.6;82.30;1.9;12.3
            13 Madrid, Comunidad de;2019; Negocios, administración y derecho;Mujeres;10.15;1.4;79.22;3.9;20.0
            14 Murcia, Región de;2019; Negocios, administración y derecho;Mujeres;9.72;0.2;80.80;1.9;20.2
            15 Navarra, Comunidad Foral de;2019; Negocios, administración y derecho;Mujeres;6.20;0.3;79.09;2.3;15.7
            16 País Vasco;2019; Negocios, administración y derecho;Mujeres;5.36;1.1;75.05;3.8;15.2
            17 Rioja, La;2019; Negocios, administración y derecho;Mujeres;5.47;1.6;71.66;3.6;16.7
            18 Ceuta;2019; Negocios, administración y derecho;Mujeres;0.00;..;79.84;..;15.6
            19 Melilla;2019; Negocios, administración y derecho;Mujeres;0.00;0.0;66.52;4.1;13.1
            01 Andalucía;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;13.74;0.6;70.73;2.2;4.5
            02 Aragón;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;9.35;1.0;69.03;2.5;4.2
            03 Asturias, Principado de;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;30.11;0.7;100.00;3.1;1.9
            04 Balears, Illes;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;0.00;0.2;81.78;2.2;2.0
            05 Canarias;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;40.21;0.8;76.61;2.2;2.9
            06 Cantabria;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;7.47;0.1;83.01;2.8;4.3
            07 Castilla y León;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;7.61;0.6;83.43;3.2;3.0
            08 Castilla - La Mancha;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;16.48;0.4;88.56;2.0;3.5
            09 Cataluña;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;1.71;0.5;88.80;3.9;4.4
            10 Comunitat Valenciana;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;19.48;0.9;70.75;3.0;2.3
            11 Extremadura;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;0.00;0.7;86.31;0.6;3.8
            12 Galicia;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;6.18;0.8;85.29;2.9;4.7
            13 Madrid, Comunidad de;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;9.56;1.1;82.66;4.0;5.2
            14 Murcia, Región de;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;0.00;0.3;71.42;1.8;3.2
            15 Navarra, Comunidad Foral de;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;6.76;0.6;87.42;1.8;3.6
            16 País Vasco;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;0.00;0.5;73.93;3.0;4.5
            17 Rioja, La;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;0.00;1.5;84.21;2.9;4.8
            18 Ceuta;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;..;0.0;..;2.3;2.8
            19 Melilla;2019;Ciencias naturales, químicas, físicas y matemáticas;Mujeres;0.00;0.0;100.00;5.0;3.6
            01 Andalucía;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;36.54;0.3;76.03;1.8;5.4
            02 Aragón;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;19.20;0.1;96.22;1.0;5.0
            03 Asturias, Principado de;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;15.29;0.7;100.00;2.1;4.8
            04 Balears, Illes;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;14.70;0.8;100.00;1.8;5.2
            05 Canarias;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;66.18;0.2;76.42;1.9;7.2
            06 Cantabria;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;23.67;0.5;100.00;1.4;7.6
            07 Castilla y León;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;9.14;0.4;80.32;1.6;5.0
            08 Castilla - La Mancha;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;28.13;0.4;100.00;1.5;6.8
            09 Cataluña;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;8.39;0.2;94.43;1.9;7.7
            10 Comunitat Valenciana;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;6.21;0.0;93.22;1.0;5.5
            11 Extremadura;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;70.25;0.0;59.29;0.7;6.2
            12 Galicia;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;1.43;0.3;80.75;2.0;5.9
            13 Madrid, Comunidad de;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;9.40;0.7;85.64;3.0;10.2
            14 Murcia, Región de;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;15.46;0.1;100.00;0.4;4.2
            15 Navarra, Comunidad Foral de;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;0.00;0.3;70.36;1.4;5.7
            16 País Vasco;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;10.35;0.6;78.34;1.8;5.7
            17 Rioja, La;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;0.00;0.0;86.50;1.4;2.7
            18 Ceuta;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;100.00;0.0;100.00;2.1;1.5
            19 Melilla;2019;Tecnologías de la información y las comunicaciones (TIC);Mujeres;..;0.0;..;1.7;3.7
            01 Andalucía;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;31.73;0.2;63.27;1.1;25.4
            02 Aragón;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;21.83;0.2;95.06;0.7;32.2
            03 Asturias, Principado de;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;21.84;0.4;71.28;2.0;42.5
            04 Balears, Illes;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;0.00;0.0;100.00;1.9;30.3
            05 Canarias;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;17.96;0.7;85.88;0.8;22.5
            06 Cantabria;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;0.00;0.0;59.51;1.7;37.6
            07 Castilla y León;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;15.70;0.2;82.37;1.3;33.9
            08 Castilla - La Mancha;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;28.00;0.1;77.16;1.7;31.5
            09 Cataluña;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;2.22;0.4;75.90;2.1;28.2
            10 Comunitat Valenciana;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;6.67;0.1;60.93;0.9;30.0
            11 Extremadura;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;17.72;0.1;74.23;1.0;27.2
            12 Galicia;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;7.88;0.3;81.04;1.6;30.9
            13 Madrid, Comunidad de;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;8.96;0.4;84.21;2.4;19.3
            14 Murcia, Región de;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;0.00;0.5;54.74;1.5;26.8
            15 Navarra, Comunidad Foral de;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;0.00;0.1;88.19;2.1;43.4
            16 País Vasco;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;5.51;0.6;79.13;1.4;43.3
            17 Rioja, La;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;19.13;0.3;62.03;2.0;36.7
            18 Ceuta;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;100.00;0.0;62.73;4.2;21.0
            19 Melilla;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Mujeres;100.00;0.0;100.00;1.8;8.8
            01 Andalucía;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;57.44;0.2;69.49;1.5;1.9
            02 Aragón;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;0.00;0.2;93.57;1.5;2.9
            03 Asturias, Principado de;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;0.00;0.4;76.64;1.8;1.9
            04 Balears, Illes;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;33.53;0.2;100.00;1.1;0.3
            05 Canarias;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;35.60;1.7;100.00;1.1;2.1
            06 Cantabria;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;47.65;0.6;48.66;2.2;0.8
            07 Castilla y León;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;0.00;0.3;88.82;1.3;3.5
            08 Castilla - La Mancha;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;17.00;0.0;90.00;1.0;2.8
            09 Cataluña;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;2.99;0.4;100.00;1.6;0.8
            10 Comunitat Valenciana;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;27.54;0.7;84.93;1.2;2.0
            11 Extremadura;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;0.00;0.1;69.98;0.6;3.4
            12 Galicia;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;18.30;0.2;83.86;1.3;3.9
            13 Madrid, Comunidad de;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;15.93;1.1;72.03;3.0;0.9
            14 Murcia, Región de;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;18.45;0.1;89.56;0.7;3.7
            15 Navarra, Comunidad Foral de;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;10.14;0.4;88.09;0.8;4.1
            16 País Vasco;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;0.00;0.4;100.00;2.1;0.7
            17 Rioja, La;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;0.00;0.0;100.00;0.4;4.0
            18 Ceuta;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;..;0.0;..;2.0;..
            19 Melilla;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Mujeres;..;0.0;..;1.1;0.0
            01 Andalucía;2019;Salud y servicios sociales;Mujeres;10.58;0.2;76.86;0.5;5.4
            02 Aragón;2019;Salud y servicios sociales;Mujeres;1.91;0.1;76.73;1.5;5.3
            03 Asturias, Principado de;2019;Salud y servicios sociales;Mujeres;12.72;0.0;75.82;2.2;3.7
            04 Balears, Illes;2019;Salud y servicios sociales;Mujeres;6.43;0.0;76.98;1.3;5.6
            05 Canarias;2019;Salud y servicios sociales;Mujeres;11.20;0.3;72.00;0.4;4.5
            06 Cantabria;2019;Salud y servicios sociales;Mujeres;9.20;0.0;74.22;1.6;3.5
            07 Castilla y León;2019;Salud y servicios sociales;Mujeres;4.91;0.3;80.20;1.5;4.7
            08 Castilla - La Mancha;2019;Salud y servicios sociales;Mujeres;10.47;0.0;84.26;1.7;5.5
            09 Cataluña;2019;Salud y servicios sociales;Mujeres;5.56;0.1;81.32;2.0;4.7
            10 Comunitat Valenciana;2019;Salud y servicios sociales;Mujeres;12.84;0.1;73.32;1.6;5.0
            11 Extremadura;2019;Salud y servicios sociales;Mujeres;13.16;0.4;76.06;0.2;4.8
            12 Galicia;2019;Salud y servicios sociales;Mujeres;7.60;0.3;81.48;1.2;6.0
            13 Madrid, Comunidad de;2019;Salud y servicios sociales;Mujeres;4.14;0.6;81.18;2.6;3.3
            14 Murcia, Región de;2019;Salud y servicios sociales;Mujeres;18.22;0.0;75.49;1.1;6.0
            15 Navarra, Comunidad Foral de;2019;Salud y servicios sociales;Mujeres;4.25;0.5;73.02;1.0;2.9
            16 País Vasco;2019;Salud y servicios sociales;Mujeres;4.24;0.8;80.36;2.6;3.5
            17 Rioja, La;2019;Salud y servicios sociales;Mujeres;6.94;0.2;75.88;1.3;4.1
            18 Ceuta;2019;Salud y servicios sociales;Mujeres;0.00;0.0;73.83;0.0;1.6
            19 Melilla;2019;Salud y servicios sociales;Mujeres;0.00;..;60.73;..;12.7
            01 Andalucía;2019;Servicios;Mujeres;20.35;0.3;71.92;0.9;4.9
            02 Aragón;2019;Servicios;Mujeres;17.74;0.5;75.75;0.9;3.4
            03 Asturias, Principado de;2019;Servicios;Mujeres;26.44;0.4;74.76;3.0;3.1
            04 Balears, Illes;2019;Servicios;Mujeres;17.07;0.0;85.20;2.4;2.9
            05 Canarias;2019;Servicios;Mujeres;17.30;0.2;83.32;0.9;6.2
            06 Cantabria;2019;Servicios;Mujeres;11.66;0.4;80.31;1.5;3.8
            07 Castilla y León;2019;Servicios;Mujeres;11.85;0.2;75.28;1.5;3.8
            08 Castilla - La Mancha;2019;Servicios;Mujeres;17.49;0.3;82.23;1.1;3.2
            09 Cataluña;2019;Servicios;Mujeres;12.61;0.1;78.01;1.5;3.7
            10 Comunitat Valenciana;2019;Servicios;Mujeres;19.56;0.2;71.88;1.4;3.3
            11 Extremadura;2019;Servicios;Mujeres;29.91;0.1;88.07;0.6;4.7
            12 Galicia;2019;Servicios;Mujeres;8.92;0.3;83.99;1.2;5.2
            13 Madrid, Comunidad de;2019;Servicios;Mujeres;7.45;0.5;74.98;2.9;3.0
            14 Murcia, Región de;2019;Servicios;Mujeres;18.06;0.4;69.72;1.1;3.7
            15 Navarra, Comunidad Foral de;2019;Servicios;Mujeres;7.21;0.0;79.66;1.3;1.6
            16 País Vasco;2019;Servicios;Mujeres;11.81;0.1;69.00;2.9;3.3
            17 Rioja, La;2019;Servicios;Mujeres;14.65;0.0;68.57;0.7;4.3
            18 Ceuta;2019;Servicios;Mujeres;0.00;..;41.76;..;5.0
            19 Melilla;2019;Servicios;Mujeres;34.55;0.0;72.49;2.2;8.3
            01 Andalucía;2019;Sectores desconocidos o no especificados;Mujeres;44.72;0.1;13.23;1.0;0.9
            02 Aragón;2019;Sectores desconocidos o no especificados;Mujeres;37.00;0.1;6.42;1.4;0.2
            03 Asturias, Principado de;2019;Sectores desconocidos o no especificados;Mujeres;..;0.4;0.00;1.4;0.0
            04 Balears, Illes;2019;Sectores desconocidos o no especificados;Mujeres;51.13;0.4;17.97;0.6;2.6
            05 Canarias;2019;Sectores desconocidos o no especificados;Mujeres;43.55;0.0;7.40;1.2;1.5
            06 Cantabria;2019;Sectores desconocidos o no especificados;Mujeres;..;0.3;0.00;1.1;0.6
            07 Castilla y León;2019;Sectores desconocidos o no especificados;Mujeres;23.02;0.2;30.54;1.6;0.3
            08 Castilla - La Mancha;2019;Sectores desconocidos o no especificados;Mujeres;25.27;0.2;13.30;1.0;0.1
            09 Cataluña;2019;Sectores desconocidos o no especificados;Mujeres;11.18;0.1;7.93;0.9;1.1
            10 Comunitat Valenciana;2019;Sectores desconocidos o no especificados;Mujeres;50.27;0.1;14.13;0.7;0.1
            11 Extremadura;2019;Sectores desconocidos o no especificados;Mujeres;0.00;0.1;0.79;2.1;0.6
            12 Galicia;2019;Sectores desconocidos o no especificados;Mujeres;0.00;0.1;8.58;1.3;0.6
            13 Madrid, Comunidad de;2019;Sectores desconocidos o no especificados;Mujeres;0.00;0.5;5.51;3.5;0.3
            14 Murcia, Región de;2019;Sectores desconocidos o no especificados;Mujeres;0.00;0.0;4.67;1.4;0.2
            15 Navarra, Comunidad Foral de;2019;Sectores desconocidos o no especificados;Mujeres;43.22;0.0;68.65;0.9;0.0
            16 País Vasco;2019;Sectores desconocidos o no especificados;Mujeres;46.97;0.2;27.23;3.0;0.8
            17 Rioja, La;2019;Sectores desconocidos o no especificados;Mujeres;0.00;0.3;37.54;0.0;0.5
            18 Ceuta;2019;Sectores desconocidos o no especificados;Mujeres;82.27;0.0;16.84;1.6;..
            19 Melilla;2019;Sectores desconocidos o no especificados;Mujeres;55.47;1.3;11.91;0.0;2.5
            01 Andalucía;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;35.24;0.2;40.64;1.2;16.9
            02 Aragón;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;17.01;0.1;36.32;0.9;19.5
            03 Asturias, Principado de;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;22.58;0.2;30.33;0.9;17.6
            04 Balears, Illes;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;13.36;0.0;48.97;0.6;28.0
            05 Canarias;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;30.66;0.2;44.81;0.8;28.1
            06 Cantabria;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;18.46;1.3;32.33;1.4;13.2
            07 Castilla y León;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;20.39;0.2;32.13;1.7;17.0
            08 Castilla - La Mancha;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;29.92;0.1;39.98;1.0;21.6
            09 Cataluña;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;18.11;0.1;40.34;1.7;20.8
            10 Comunitat Valenciana;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;22.17;0.0;40.06;0.6;20.1
            11 Extremadura;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;32.64;0.0;37.73;0.6;15.1
            12 Galicia;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;16.39;0.2;32.80;1.3;15.1
            13 Madrid, Comunidad de;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;16.52;0.8;40.68;2.4;24.6
            14 Murcia, Región de;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;24.51;0.0;38.58;1.8;18.3
            15 Navarra, Comunidad Foral de;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;19.92;0.4;32.62;0.9;15.3
            16 País Vasco;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;16.21;0.0;30.82;1.2;13.9
            17 Rioja, La;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;13.53;0.0;38.73;0.5;16.7
            18 Ceuta;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;35.20;0.0;44.44;1.6;20.3
            19 Melilla;2018;Formación general, formación básica de adultos y habilidades personales;Mujeres;54.62;..;41.99;..;26.5
            01 Andalucía;2018;Educación;Mujeres;15.55;0.6;69.36;2.5;12.0
            02 Aragón;2018;Educación;Mujeres;4.60;1.1;77.45;3.7;9.2
            03 Asturias, Principado de;2018;Educación;Mujeres;7.58;0.3;61.62;3.9;10.9
            04 Balears, Illes;2018;Educación;Mujeres;7.76;0.2;83.41;3.2;11.5
            05 Canarias;2018;Educación;Mujeres;13.46;1.0;70.29;3.3;10.2
            06 Cantabria;2018;Educación;Mujeres;3.65;0.6;70.99;3.6;10.7
            07 Castilla y León;2018;Educación;Mujeres;11.91;1.1;65.74;3.3;12.5
            08 Castilla - La Mancha;2018;Educación;Mujeres;11.19;0.7;75.38;2.9;11.0
            09 Cataluña;2018;Educación;Mujeres;8.67;0.8;77.72;1.5;8.8
            10 Comunitat Valenciana;2018;Educación;Mujeres;14.97;0.5;60.51;2.6;10.8
            11 Extremadura;2018;Educación;Mujeres;18.30;0.4;72.95;2.5;14.5
            12 Galicia;2018;Educación;Mujeres;7.86;0.8;72.63;2.8;12.3
            13 Madrid, Comunidad de;2018;Educación;Mujeres;8.47;1.0;69.39;3.3;9.7
            14 Murcia, Región de;2018;Educación;Mujeres;21.21;1.0;69.82;1.4;10.3
            15 Navarra, Comunidad Foral de;2018;Educación;Mujeres;10.55;2.0;76.85;3.9;9.1
            16 País Vasco;2018;Educación;Mujeres;10.99;1.5;76.14;5.2;11.3
            17 Rioja, La;2018;Educación;Mujeres;4.75;0.8;64.23;2.9;9.1
            18 Ceuta;2018;Educación;Mujeres;14.92;..;69.91;..;25.7
            19 Melilla;2018;Educación;Mujeres;9.40;1.4;72.37;0.0;10.5
            01 Andalucía;2018;Artes, humanidades y lenguas;Mujeres;14.66;0.2;67.26;2.1;6.7
            02 Aragón;2018;Artes, humanidades y lenguas;Mujeres;3.65;0.4;61.25;3.6;4.2
            03 Asturias, Principado de;2018;Artes, humanidades y lenguas;Mujeres;8.32;1.0;70.30;2.5;6.0
            04 Balears, Illes;2018;Artes, humanidades y lenguas;Mujeres;8.88;1.1;70.46;3.5;5.2
            05 Canarias;2018;Artes, humanidades y lenguas;Mujeres;19.98;0.8;84.31;1.5;4.9
            06 Cantabria;2018;Artes, humanidades y lenguas;Mujeres;0.00;1.2;67.72;5.0;5.8
            07 Castilla y León;2018;Artes, humanidades y lenguas;Mujeres;9.94;0.5;69.90;2.4;5.3
            08 Castilla - La Mancha;2018;Artes, humanidades y lenguas;Mujeres;14.56;0.6;69.65;2.2;4.8
            09 Cataluña;2018;Artes, humanidades y lenguas;Mujeres;11.47;0.5;74.86;2.0;6.1
            10 Comunitat Valenciana;2018;Artes, humanidades y lenguas;Mujeres;9.90;1.1;73.70;1.6;6.4
            11 Extremadura;2018;Artes, humanidades y lenguas;Mujeres;13.16;0.2;69.03;1.6;7.0
            12 Galicia;2018;Artes, humanidades y lenguas;Mujeres;13.05;0.7;78.09;3.3;6.1
            13 Madrid, Comunidad de;2018;Artes, humanidades y lenguas;Mujeres;11.60;0.7;76.21;3.5;7.2
            14 Murcia, Región de;2018;Artes, humanidades y lenguas;Mujeres;10.37;0.7;77.59;1.9;3.8
            15 Navarra, Comunidad Foral de;2018;Artes, humanidades y lenguas;Mujeres;15.83;0.2;92.83;3.6;4.2
            16 País Vasco;2018;Artes, humanidades y lenguas;Mujeres;5.29;1.5;67.80;4.5;5.3
            17 Rioja, La;2018;Artes, humanidades y lenguas;Mujeres;17.54;1.2;84.90;2.0;5.9
            18 Ceuta;2018;Artes, humanidades y lenguas;Mujeres;0.00;..;26.95;..;..
